time,Sw,bulk_vel_x,bulk_vel_y,bulk_vel_z,h_w,heat_joules_extracted_this_timestep_h2o,mass_kg_h2o_extracted_this_timestep,mu_w,pressure_injection_point,pressure_middle,pressure_prod_point,rhow,temperature,temperature_injection_point,temperature_middle
181994925600,1,-3.9400701365068e-10,3.416161857972e-10,0,1406678.7527076,0,0,8.9551207066095e-05,35558012.391975,35677019.225779,35805056.578267,731.8586915691,585.3902848659,500.75029334542,541.94549100589
182625645600,1,-3.9465098229988e-10,3.4201798335491e-10,0,1408650.604746,0,0,8.9423290584744e-05,35556431.636446,35675479.135952,35803579.413914,731.17202861846,585.76918096282,501.08714954424,542.29326144222
183256365600,1,-3.9529117811843e-10,3.4241616394983e-10,0,1410615.7357283,0,0,8.9296026543112e-05,35554854.338056,35673942.482185,35802105.231114,730.48672677959,586.14635879185,501.42277965952,542.63961803863
183887085600,1,-3.9592980177663e-10,3.4281286302352e-10,0,1412574.1660982,0,0,8.9169409785814e-05,35553282.011349,35672410.505606,35800634.766475,729.80278722946,586.52182537641,501.75718560056,542.98456567732
184517805600,1,-3.9656538737288e-10,3.4320795807103e-10,0,1414525.9321461,0,0,8.9043434240822e-05,35551714.927147,35670883.71084,35799168.886708,729.12020578773,586.89559007481,502.0903692639,543.32810946704
185148525600,1,-3.9719832202298e-10,3.4360097680337e-10,0,1416471.0592181,0,0,8.8918094085043e-05,35550152.229574,35669361.120612,35797706.536613,728.43897926828,587.26766060634,502.4223323994,543.67025396289
185779245600,1,-3.978285318065e-10,3.4399171457577e-10,0,1418409.5716571,0,0,8.8793383968896e-05,35548594.054484,35667842.950926,35796247.944407,727.75910662239,587.63804458363,502.75307684073,544.01100394213
186409965600,1,-3.9845630921779e-10,3.4438029261356e-10,0,1420341.4926343,0,0,8.8669298570692e-05,35547040.360103,35666329.07786,35794792.936737,727.08058658923,588.0067492935,503.08260446523,544.35036406274
187040685600,1,-3.9908131584488e-10,3.4476639196549e-10,0,1422266.8467278,0,0,8.8545832564628e-05,35545491.00146,35664819.404382,35793341.436388,726.40341750682,588.37378219864,503.4109171353,544.68833895871
187671405600,1,-3.9970369060883e-10,3.4515089149849e-10,0,1424185.6615849,0,0,8.8422980759736e-05,35543946.814694,35663314.794908,35791894.363063,725.72759804115,588.73915145976,503.73801695634,545.0249336442
188302125600,1,-4.0032309166303e-10,3.4553319468925e-10,0,1426097.9624586,0,0,8.8300737739206e-05,35542407.055132,35661814.504994,35790451.023893,725.05312530633,589.10286460756,504.06390584995,545.36015273235
188932845600,1,-4.0094013398853e-10,3.4591283611164e-10,0,1428003.7710874,0,0,8.8179098403642e-05,35540871.495181,35660318.215165,35789010.868021,724.37999779458,589.46492851055,504.38858577538,545.69400074291
189563565600,1,-4.0155540746351e-10,3.4629176746275e-10,0,1429903.1138139,0,0,8.80580579332e-05,35539341.486545,35658827.252019,35787575.230898,723.70821511049,589.82535112471,504.71205907244,546.02648274704
190194285600,1,-4.0216732170725e-10,3.466680807403e-10,0,1431796.0160565,0,0,8.7937611034902e-05,35537815.742599,35657340.505002,35786143.287648,723.03777397373,590.18413993145,505.03432769714,546.35760330914
190825005600,1,-4.0277648712516e-10,3.4704187118797e-10,0,1433682.4909894,0,0,8.7817753442355e-05,35536294.297856,35655857.941417,35784714.940661,722.36867644957,590.54130078796,505.35539371682,546.68736702412
191455725600,1,-4.0338379821089e-10,3.4741436374656e-10,0,1435562.5822148,0,0,8.7698479153099e-05,35534778.03604,35654380.300761,35783290.592533,721.7009145212,590.89684341328,505.67525948947,547.01577877341
192086445600,1,-4.039883666406e-10,3.4778457928019e-10,0,1437436.281431,0,0,8.7579785305445e-05,35533266.176414,35652906.968767,35781869.932063,721.03449748665,591.25077103022,505.99392713727,547.34284313568
192717165600,1,-4.045900297866e-10,3.4815198675164e-10,0,1439303.6528242,0,0,8.7461664465249e-05,35531758.311421,35651437.491853,35780452.477465,720.36940861126,591.60309570172,506.31139875552,547.66856445837
193347885600,1,-4.0518975303176e-10,3.4851801839547e-10,0,1441164.7056709,0,0,8.734411312683e-05,35530255.612344,35649972.980827,35779039.238389,719.70565283125,591.95382353253,506.62767679007,547.99294760834
193978605600,1,-4.0578634204131e-10,3.4888141534651e-10,0,1443019.4646049,0,0,8.7227126430162e-05,35528757.209496,35648512.718172,35777629.638481,719.04322721956,592.30296168882,506.94276340976,548.31599713379
194609325600,1,-4.0638095162069e-10,3.4924337744554e-10,0,1444867.9454498,0,0,8.7110700364394e-05,35527263.779221,35647057.179989,35776223.998772,718.38213329353,592.65051628671,507.25666106877,548.63771771947
195240045600,1,-4.0697284273976e-10,3.4960349463289e-10,0,1446710.1743316,0,0,8.6994830249991e-05,35525775.127258,35645606.327149,35774822.38449,717.7223684813,592.99649474453,507.56937213083,548.95811410464
195870765600,1,-4.075620450167e-10,3.4996070371046e-10,0,1448546.1695864,0,0,8.6879511721688e-05,35524290.529709,35644159.450528,35773424.055126,717.06393173458,593.340903245,507.88089881011,549.27719073162
196501485600,1,-4.081492712686e-10,3.503162850243e-10,0,1450375.9549511,0,0,8.6764740394623e-05,35522810.558896,35642716.84412,35772029.255214,716.40682152624,593.68374887375,508.19124360142,549.59495200796
197132205600,1,-4.0873360966269e-10,3.5067000792482e-10,0,1452199.5466263,0,0,8.6650512536738e-05,35521335.406591,35641279.083318,35770638.720987,715.75103974683,594.02503792875,508.50040893672,549.91140283802
197762925600,1,-4.093160117761e-10,3.5102151730282e-10,0,1454016.9788204,0,0,8.6536822874105e-05,35519864.70175,35639845.52052,35769251.512623,715.09657922666,594.36477836608,508.80839725444,550.22654764269
198393645600,1,-4.0989523107277e-10,3.5137028546257e-10,0,1455828.267,0,0,8.6423667648636e-05,35518398.062761,35638415.986284,35767867.769442,714.44344114571,594.7029764377,509.11521087571,550.54039086433
199024365600,1,-4.1047219375315e-10,3.5171734567696e-10,0,1457633.4320697,0,0,8.6311042941011e-05,35516936.347104,35636991.165679,35766488.120986,713.79162544154,595.03963891098,509.42085243235,550.85293713135
199655085600,1,-4.1104667490699e-10,3.5206197229046e-10,0,1459432.4920796,0,0,8.6198944653242e-05,35515478.770628,35635570.372416,35765111.759389,713.14113083783,595.37477172723,509.72532431469,551.16419085495
200285805600,1,-4.1161892788474e-10,3.5240470587579e-10,0,1461225.468885,0,0,8.6087368902945e-05,35514026.05474,35634154.286818,35763739.346621,712.4919569232,595.70838168563,510.02862917002,551.47415680097
200916525600,1,-4.1218903792171e-10,3.5274592063923e-10,0,1463012.3850668,0,0,8.5976311606119e-05,35512578.192416,35632742.789231,35762370.826758,711.84410188659,596.04047561698,510.33076966828,551.7828394081
201547245600,1,-4.1275612096746e-10,3.5308412413321e-10,0,1464793.2603708,0,0,8.5865768698332e-05,35511134.077508,35631335.002351,35761005.435608,711.19756380336,596.37105973111,510.63174815601,552.09024294633
202177965600,1,-4.1332094566711e-10,3.5342031409314e-10,0,1466568.1152896,0,0,8.5755736512244e-05,35509694.630985,35629931.714954,35759643.853104,710.55234268848,596.70014062156,510.931567324,552.39637216715
202808685600,1,-4.1388390254539e-10,3.5375502522046e-10,0,1468336.9702499,0,0,8.5646211244064e-05,35508260.125119,35628533.130617,35758286.111369,709.90843754403,597.02772472762,511.23022993446,552.70123166275
203439405600,1,-4.14443961257e-10,3.5408727549424e-10,0,1470099.8467775,0,0,8.5537189013982e-05,35506829.915473,35627138.780242,35756932.064576,709.26584667202,597.35381864927,511.52773854969,553.00482577172
204070125600,1,-4.1500134532106e-10,3.5441723057305e-10,0,1471856.7656584,0,0,8.5428666030654e-05,35505404.013243,35625748.618774,35755581.583207,708.62456862838,597.67842884412,511.82409579214,553.30715884931
204700845600,1,-4.1555669680183e-10,3.5474496559903e-10,0,1473607.7131925,0,0,8.53206406557e-05,35503982.535012,35624362.704239,35754234.528001,707.9846144984,598.0015571705,512.11930435342,553.60823530565
205331565600,1,-4.1610988662193e-10,3.5507088742398e-10,0,1475352.7547376,0,0,8.5213106544908e-05,35502565.685735,35622981.187377,35752891.163208,707.34596715671,598.32321510482,512.41336700904,553.90805939085
205962285600,1,-4.1666032556241e-10,3.5539429951983e-10,0,1477091.9108321,0,0,8.5106060031956e-05,35501153.081028,35621603.855235,35751551.333701,706.70862511092,598.6434098426,512.70628639101,554.20663554777
206593005600,1,-4.1720866878982e-10,3.5571554088095e-10,0,1478825.1937146,0,0,8.4999498037984e-05,35499744.974879,35620230.80163,35750215.037101,706.07259010924,598.96214688951,512.99806527771,554.50396818554
207223725600,1,-4.1775501702422e-10,3.5603554764171e-10,0,1480552.6247061,0,0,8.4893417065076e-05,35498341.670399,35618862.349882,35748882.630092,705.43786113005,599.27943282267,513.28870653651,554.8000618427
207854445600,1,-4.1829895846123e-10,3.5635363855035e-10,0,1482274.2142189,0,0,8.4787814266069e-05,35496943.237107,35617498.639416,35747554.283266,704.80444083535,599.59527259204,513.57821303195,555.09492111435
208485165600,1,-4.1883981042264e-10,3.5666866175475e-10,0,1483989.9828816,0,0,8.4682685865518e-05,35495548.436134,35616138.522845,35746228.97194,704.17232620325,599.90967215488,513.86658728611,555.38854975578
209115885600,1,-4.193784340133e-10,3.5698107626447e-10,0,1485699.948685,0,0,8.4578028630666e-05,35494157.75773,35614782.334659,35744906.901544,703.54151711639,600.22263742264,514.15383207173,555.68095168826
209746605600,1,-4.1991512207576e-10,3.5729178966873e-10,0,1487404.1258883,0,0,8.4473839682692e-05,35492771.831867,35613430.722083,35743588.605853,702.91201534019,600.53417383064,514.43995031717,555.97213185638
210377325600,1,-4.2044949923085e-10,3.5760076764995e-10,0,1489102.5359061,0,0,8.4370115563749e-05,35491390.407867,35612083.429293,35742273.989474,702.28381898131,600.84428772873,514.72494487677,556.26209465209
211008045600,1,-4.2098163540574e-10,3.5790760820153e-10,0,1490795.1985382,0,0,8.4266852977148e-05,35490013.571465,35610740.566929,35740963.063515,701.65692687868,601.1529852967,515.00881864184,556.55084453797
211638765600,1,-4.2151112870096e-10,3.5821193457879e-10,0,1492482.1162649,0,0,8.4164049622066e-05,35488640.819844,35609401.683361,35739655.524258,701.03134375212,601.46027035744,515.29157436549,556.83838572275
212269485600,1,-4.2203876343169e-10,3.5851424501812e-10,0,1494163.3427811,0,0,8.4061700170777e-05,35487272.380281,35608066.863439,35738351.248459,700.40705561368,601.76615284609,515.57321494328,557.12472242087
212900205600,1,-4.2256386847447e-10,3.5881421096218e-10,0,1495838.8752901,0,0,8.3959802920119e-05,35485908.362184,35606736.347805,35737050.679527,699.78407030739,602.07063685011,515.85374326184,557.40985902973
213530925600,1,-4.230868274868e-10,3.5911235362298e-10,0,1497508.7293963,0,0,8.385835492311e-05,35484548.838504,35605410.189979,35735753.714782,699.16238794367,602.37372763187,516.13316223954,557.6937999677
214161645600,1,-4.2360733285191e-10,3.5940789936123e-10,0,1499172.9233186,0,0,8.3757353048193e-05,35483193.411837,35604087.968128,35734460.048296,698.54200731446,602.67543084482,516.41147470936,557.97655033758
214792365600,1,-4.2412595243442e-10,3.5970200468445e-10,0,1500831.4754617,0,0,8.365679444375e-05,35481842.804344,35602770.368248,35733170.286617,697.92292862153,602.97575246214,516.6886837444,558.25811419554
215423085600,1,-4.2464189173412e-10,3.5999355778096e-10,0,1502484.4036413,0,0,8.3556675999052e-05,35480496.315711,35601456.787939,35731883.901381,697.30515039282,603.27469812791,516.96479217592,558.53849530876
216053805600,1,-4.2515594975701e-10,3.6028299437253e-10,0,1504131.7240338,0,0,8.3456994826857e-05,35479153.981019,35600147.124694,35730600.699228,696.68867229134,603.57227326964,517.23980293545,558.81769762037
216684525600,1,-4.2566706017639e-10,3.6056932333827e-10,0,1505773.4547031,0,0,8.3357748092793e-05,35477815.690274,35598841.471856,35729320.960324,696.07349405228,603.86848373906,517.51371886325,559.09572524812
217315245600,1,-4.2617697897058e-10,3.6085553581766e-10,0,1507409.6134559,0,0,8.3258933168209e-05,35476482.865366,35597540.972315,35728045.532775,695.45961642507,604.16333548909,517.78654328939,559.3725827174
217945965600,1,-4.266840785288e-10,3.6113871745268e-10,0,1509040.2168481,0,0,8.3160546960311e-05,35475153.941936,35596244.306583,35726773.283076,694.84703731375,604.45683379295,518.05827900259,559.64827405175
218576685600,1,-4.2718921925882e-10,3.6142025619255e-10,0,1510665.240007,0,0,8.3062589362577e-05,35473829.563236,35594951.954606,35725504.723103,694.23577289888,604.74897895908,518.3289291063,559.9228034521
219207405600,1,-4.2769189600306e-10,3.6169891032802e-10,0,1512284.7222347,0,0,8.2965056030832e-05,35472508.797396,35593663.125022,35724238.949738,693.6258129138,605.03977849922,518.59849637658,560.19617478538
219838125600,1,-4.2819296178511e-10,3.6197596339767e-10,0,1513898.7887869,0,0,8.2867938051827e-05,35471192.875775,35592378.87486,35722976.949765,693.01711785905,605.32925208737,518.86698403316,560.46839234213
220468845600,1,-4.2869106504899e-10,3.6225024951238e-10,0,1515507.3550826,0,0,8.2771238708105e-05,35469880.77937,35591098.383576,35721718.285919,692.40972472583,605.61739410935,519.13439490804,560.73946010358
221099565600,1,-4.2918693891006e-10,3.6252221063227e-10,0,1517110.4505391,0,0,8.2674954603285e-05,35468572.890713,35589821.981788,35720462.987104,691.8036284045,605.90421072546,519.40073201298,561.00938228243
221730285600,1,-4.2968081179274e-10,3.6279243347155e-10,0,1518708.0805323,0,0,8.2579083904125e-05,35467269.625568,35588550.010945,35719211.41225,691.19883340378,606.18970572777,519.66599848475,561.27816340903
222361005600,1,-4.3017317267424e-10,3.6306094450958e-10,0,1520300.2700504,0,0,8.2483623387681e-05,35465970.760566,35587282.127973,35717963.089479,690.59533540129,606.47388542798,519.93019743947,561.54580741903
222991725600,1,-4.3066248558277e-10,3.6332649732052e-10,0,1521887.0314386,0,0,8.2388570763718e-05,35464675.670785,35586018.047321,35716718.06119,689.99313571567,606.75675470745,520.19333171585,561.81231823003
